Rain,Snow,Temperatur,Time Stamp,Local Time,Time UTC
0,0,27.8,1689302640,2023-07-13T22:44:00,2023-07-14T02:44:00
0,0,27.8,1689302700,2023-07-13T22:45:00,2023-07-14T02:45:00
0,0,27.9,1689302760,2023-07-13T22:46:00,2023-07-14T02:46:00
0,0,27.9,1689302820,2023-07-13T22:47:00,2023-07-14T02:47:00
0,0,27.9,1689302880,2023-07-13T22:48:00,2023-07-14T02:48:00
0,0,27.9,1689302940,2023-07-13T22:49:00,2023-07-14T02:49:00
0,0,28,1689303000,2023-07-13T22:50:00,2023-07-14T02:50:00
0,0,28,1689303060,2023-07-13T22:51:00,2023-07-14T02:51:00
0,0,28,1689303120,2023-07-13T22:52:00,2023-07-14T02:52:00
0,0,28,1689303180,2023-07-13T22:53:00,2023-07-14T02:53:00
0,0,28.1,1689303240,2023-07-13T22:54:00,2023-07-14T02:54:00
0,0,28.1,1689303300,2023-07-13T22:55:00,2023-07-14T02:55:00
0,0,28.1,1689303360,2023-07-13T22:56:00,2023-07-14T02:56:00
0,0,28.1,1689303420,2023-07-13T22:57:00,2023-07-14T02:57:00
0,0,28.2,1689303480,2023-07-13T22:58:00,2023-07-14T02:58:00
0,0,28.2,1689303540,2023-07-13T22:59:00,2023-07-14T02:59:00
0,0,28.2,1689303600,2023-07-13T23:00:00,2023-07-14T03:00:00
0,0,28.2,1689303660,2023-07-13T23:01:00,2023-07-14T03:01:00
0,0,28.1,1689303720,2023-07-13T23:02:00,2023-07-14T03:02:00
0,0,28.1,1689303780,2023-07-13T23:03:00,2023-07-14T03:03:00
0,0,28.1,1689303840,2023-07-13T23:04:00,2023-07-14T03:04:00
0,0,28,1689303900,2023-07-13T23:05:00,2023-07-14T03:05:00
0,0,28,1689303960,2023-07-13T23:06:00,2023-07-14T03:06:00
0,0,27.9,1689304020,2023-07-13T23:07:00,2023-07-14T03:07:00
0,0,27.9,1689304080,2023-07-13T23:08:00,2023-07-14T03:08:00
0,0,27.9,1689304140,2023-07-13T23:09:00,2023-07-14T03:09:00
0,0,27.8,1689304200,2023-07-13T23:10:00,2023-07-14T03:10:00
0,0,27.8,1689304260,2023-07-13T23:11:00,2023-07-14T03:11:00
0,0,27.8,1689304320,2023-07-13T23:12:00,2023-07-14T03:12:00
0,0,27.7,1689304380,2023-07-13T23:13:00,2023-07-14T03:13:00
0,0,27.7,1689304440,2023-07-13T23:14:00,2023-07-14T03:14:00
0,0,27.6,1689304500,2023-07-13T23:15:00,2023-07-14T03:15:00
0,0,27.6,1689304560,2023-07-13T23:16:00,2023-07-14T03:16:00
0,0,27.6,1689304620,2023-07-13T23:17:00,2023-07-14T03:17:00
0,0,27.5,1689304680,2023-07-13T23:18:00,2023-07-14T03:18:00
0,0,27.5,1689304740,2023-07-13T23:19:00,2023-07-14T03:19:00
0,0,27.5,1689304800,2023-07-13T23:20:00,2023-07-14T03:20:00
0,0,27.4,1689304860,2023-07-13T23:21:00,2023-07-14T03:21:00
0,0,27.4,1689304920,2023-07-13T23:22:00,2023-07-14T03:22:00
0,0,27.3,1689304980,2023-07-13T23:23:00,2023-07-14T03:23:00
0,0,27.3,1689305040,2023-07-13T23:24:00,2023-07-14T03:24:00
0,0,27.3,1689305100,2023-07-13T23:25:00,2023-07-14T03:25:00
0,0,27.2,1689305160,2023-07-13T23:26:00,2023-07-14T03:26:00
0,0,27.2,1689305220,2023-07-13T23:27:00,2023-07-14T03:27:00
0,0,27.2,1689305280,2023-07-13T23:28:00,2023-07-14T03:28:00
0,0,27.1,1689305340,2023-07-13T23:29:00,2023-07-14T03:29:00
0,0,27.1,1689305400,2023-07-13T23:30:00,2023-07-14T03:30:00
0,0,27,1689305460,2023-07-13T23:31:00,2023-07-14T03:31:00
0,0,27,1689305520,2023-07-13T23:32:00,2023-07-14T03:32:00
0,0,27,1689305580,2023-07-13T23:33:00,2023-07-14T03:33:00
0,0,26.9,1689305640,2023-07-13T23:34:00,2023-07-14T03:34:00
0,0,26.9,1689305700,2023-07-13T23:35:00,2023-07-14T03:35:00
0,0,26.9,1689305760,2023-07-13T23:36:00,2023-07-14T03:36:00
0,0,26.8,1689305820,2023-07-13T23:37:00,2023-07-14T03:37:00
0,0,26.8,1689305880,2023-07-13T23:38:00,2023-07-14T03:38:00
0,0,26.7,1689305940,2023-07-13T23:39:00,2023-07-14T03:39:00
0,0,26.7,1689306000,2023-07-13T23:40:00,2023-07-14T03:40:00
0,0,26.7,1689306060,2023-07-13T23:41:00,2023-07-14T03:41:00
0,0,26.6,1689306120,2023-07-13T23:42:00,2023-07-14T03:42:00
0,0,26.6,1689306180,2023-07-13T23:43:00,2023-07-14T03:43:00
